Product Code:,Animal Species,Establishment Code,Establishment Name,Subsidiaries,Product True Name,Agent(s):,Trade Name(s):,Distributor(s):,Usage,Dosage_and_TimePeriod,Dosage_Source_Reference,Usage_Improved
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/422fd004-8bb2-4604-9015-a5f144cad33b"">44D924</a>",Bovine,124,"Boehringer Ingelheim Vetmedica, Inc.",Not Applicable,"Bovine Rhinotracheitis-Virus Diarrhea-Parainfluenza 3-Respiratory Syncytial Virus Vaccine, Modified Live Virus, Haemophilus Somnus-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin","Bovine Virus Diarrhea Virus (Untyped); Parainfluenza 3 Virus, Bovine; Herpesvirus, Bovine (IBR); Leptospira canicola; Respiratory Syncytial Virus, Bovine ; Leptospira hardjo; Leptospira icterohaemorrhagiae; Leptospira pomona; Leptospira grippotyphosa",Express FP 10-HS; Express FP 10/Somnugen,Boehringer Ingelheim (Canada) Ltd.,"A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); parainfluenza 3 virus, bovine; herpesvirus, bovine (ibr); leptospira canicola; respiratory syncytial virus, bovine ; leptospira hardjo; leptospira icterohaemorrhagiae; leptospira pomona; leptospira grippotyphosa.","Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).","A vaccine for bovines that helps protect against bovine virus diarrhea virus (untyped); parainfluenza 3 virus, bovine; herpesvirus, bovine (ibr); leptospira canicola; respiratory syncytial virus, bovine ; leptospira hardjo; leptospira icterohaemorrhagiae; leptospira pomona; leptospira grippotyphosa."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/bd4db02f-e0c7-4d1c-9318-0cc4d0463a37"">705401</a>",Swine,196,Elanco US Inc.,Elanco US Inc.,Bordetella Bronchiseptica-Erysipelothrix Rhusiopathiae-Pasteurella Multocida Bacterin-Toxoid,Bordetella bronchiseptica; Erysipelothrix rhusiopathiae; Pasteurella multocida (Untyped),Rhini Shield TX4,"Elanco Salud Animal, S.A. de C.V.",A bacterin for swines that provides immunity against bordetella bronchiseptica; erysipelothrix rhusiopathiae; pasteurella multocida (untyped).,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for swines that provides immunity against bordetella bronchiseptica; erysipelothrix rhusiopathiae; pasteurella multocida (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/7b76f400-b4f2-4d80-aedf-58f17d6d3b6c"">789001</a>","Swine,Bovine",165A,Intervet Inc.,Merck Animal Health,Clostridium Perfringens Type C-Escherichia Coli Bacterin-Toxoid,Clostridium perfringens Type C; Escherichia coli (Non-J5),ProSystem CE,"Intervet, Inc.","A bacterin for swine,bovines that provides immunity against clostridium perfringens type c; escherichia coli (non-j5).",Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,"A bacterin for swine,bovines that provides immunity against clostridium perfringens type c; escherichia coli (non-j5)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/84ed5025-2141-4d3c-afde-4abc15e22e89"">143159</a>",Chicken,605,"Huvepharma, Inc.",Not applicable,"Coccidiosis Vaccine, Live Oocysts",Coccidia (Untyped),Advent II,"Huvepharma no Brasil Comercio e Importacao Ltda.; Huvepharma, Inc",A vaccine for chickens that helps protect against coccidia (untyped).,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for chickens that helps protect against coccidia (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/9603a3bf-e467-49f9-abe0-f1934147c697"">47M9R0</a>",Canine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Canine Distemper-Adenovirus Type 2-Parvovirus Vaccine, Modified Live Virus, Live Canarypox Vector, Leptospira Canicola-Grippotyphosa-Icterohaemorrhagiae-Pomona Bacterin","Leptospira canicola; Killed Leptospira grippotyphosa; Killed Leptospira icterohaemorrhagiae; Killed Leptospira pomona; Live Adenovirus, Canine, Type 2; Live Paramyxovirus, Canine (Distemper); Live Parvovirus, Canine",No trade name assigned,No distributor specified,"A vaccine for canines that helps protect against leptospira canicola; killed leptospira grippotyphosa; killed leptospira icterohaemorrhagiae; killed leptospira pomona; live adenovirus, canine, type 2; live paramyxovirus, canine (distemper); live parvovirus, canine.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against leptospira canicola; killed leptospira grippotyphosa; killed leptospira icterohaemorrhagiae; killed leptospira pomona; live adenovirus, canine, type 2; live paramyxovirus, canine (distemper); live parvovirus, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/47abf9ea-e4fb-4b71-b18c-71bfdd5b5c18"">16D523</a>",Feline,196,Elanco US Inc.,Not Applicable,"Feline Rhinotracheitis-Calici-Panleukopenia Vaccine, Killed Virus","Calicivirus, Feline; Herpesvirus, Feline (Rhinotracheitis); Parvovirus, Feline (Panleukopenia)",Fel-O-Vax PCT + CaliciVax,No distributor specified,"A vaccine for felines that helps protect against calicivirus, feline; herpesvirus, feline (rhinotracheitis); parvovirus, feline (panleukopenia).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for felines that helps protect against calicivirus, feline; herpesvirus, feline (rhinotracheitis); parvovirus, feline (panleukopenia)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/dfb17a87-a622-4db2-87b8-a0bf61a01159"">27H800</a>",Swine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,Mycoplasma Hyorhinis Bacterin,Mycoplasma hyorhinis,Ingelvac MycoMax,No distributor specified,A bacterin for swines that provides immunity against mycoplasma hyorhinis.,Inject 1 mL intramuscularly (IM). Often 2-dose primary series with second dose 14 days after first; follow label for herd protocols.,"Pharmgate / product inserts (MycoGard, RespiSure).",A bacterin for swines that provides immunity against mycoplasma hyorhinis.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/eec4101c-b087-4cef-8fcf-7d21bbbfdee1"">104502</a>",Chicken,196,Elanco US Inc.,Elanco US Inc.,"Avian Reovirus Vaccine, Killed Virus","Reovirus, Avian (Unspecified Syndrome)",AviPro 106 Reo,Bio Pharma Trading Co.; Elanco (Thailand) Ltd.; Elanco US Inc.; International Science Solution Co. LTD.,"A vaccine for chickens that helps protect against reovirus, avian (unspecified syndrome).",Inject 0.5 mL subcutaneously per bird; revaccinate 4-6 weeks or as directed on label.,AviPro / manufacturer product inserts.,"A vaccine for chickens that helps protect against reovirus, avian (unspecified syndrome)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/6af73e8c-6ead-4448-a93c-8d21a7723b01"">1905D1</a>","Canine, Feline",165A,Intervet Inc.,Merck Animal Health,"Rabies Vaccine, RNA Particle",Rabies Virus,Nobivac NXT Feline-1 Rabies; Nobivac NXT Feline-3 Rabies; Nobivac NXT Canine-1 Rabies,No distributor specified,"A vaccine for canine, felines that helps protect against rabies virus.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for canine, felines that helps protect against rabies virus."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/54aee151-df70-429e-8025-23eb3c55ba35"">49K5R6</a>",Swine,165A,Intervet Inc.,Merck Animal Health,"Porcine Circovirus Vaccine, Type 2, Killed Baculovirus Vector, Mycoplasma Hyopneumoniae Bacterin","Circovirus, Porcine, Type 2; Mycoplasma hyopneumoniae",Circumvent PCV M G2,No distributor specified,"A vaccine for swines that helps protect against circovirus, porcine, type 2; mycoplasma hyopneumoniae.",Inject 1 mL intramuscularly (IM). Often 2-dose primary series with second dose 14 days after first; follow label for herd protocols.,"Pharmgate / product inserts (MycoGard, RespiSure).","A vaccine for swines that helps protect against circovirus, porcine, type 2; mycoplasma hyopneumoniae."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/918ed667-785f-480f-bf05-ec27b1fa6787"">17E120</a>",Turkey,165A,Intervet Inc.,Not Applicable,"Hemorrhagic Enteritis Vaccine, Live Virus","Adenovirus, Turkey (Hemorrhagic Enteritis)",Oralvax HE,Merck Animal Health; Intervet Veterinaria Chile Ltda,"A vaccine for turkeys that helps protect against adenovirus, turkey (hemorrhagic enteritis).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for turkeys that helps protect against adenovirus, turkey (hemorrhagic enteritis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/2d80f63d-1c82-40c1-bc6b-a95b69ac5d0f"">199520</a>",Equine,190,Zoetis Inc.,Not applicable,"West Nile Virus Vaccine, Killed Virus",West Nile Virus,West Nile Innovator,Zoetis Argentina; Zoetis Mexico,A vaccine for equines that helps protect against west nile virus.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for equines that helps protect against west nile virus.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/cbcd97a9-77d4-40b9-9e97-cf990cc2eeb1"">285200</a>",Caprine,449A,"HIPRA USA, LLC",Not Applicable,Staphylococcus Aureus Bacterin,Staphylococcus aureus,VIMCO,No distributor specified,A bacterin for caprines that provides immunity against staphylococcus aureus.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for caprines that provides immunity against staphylococcus aureus.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/74d98518-243d-4413-b979-9c447e20de6f"">178512</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Newcastle-Bronchitis Vaccine, Mass &amp; Ark Types, Killed Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",Gallimune NC-BR,No distributor specified,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/b9141e95-f494-47fa-b5be-e2bae51ceb56"">801000</a>",Equine,302,Neogen Corporation,Not applicable,Clostridium Botulinum Type B Toxoid,Clostridium botulinum Type B,BotVax B,No distributor specified,This product is used in equines to help prevent or protect against diseases caused by clostridium botulinum type b.,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,This product is used in equines to help prevent or protect against diseases caused by clostridium botulinum type b.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/4fafbe3a-4572-44c0-877e-1329fbb20319"">152521</a>",Equine,165A,Intervet Inc,Merck Animal Health,"Equine Rhinopneumonitis Vaccine, Killed Virus","Herpesvirus, Equine (Rhinopneumonitis, Untyped)",Prodigy with Havlogen; Prestige Prodigy,No distributor specified,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against herpesvirus, equine (rhinopneumonitis, untyped)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/d62f71da-a65f-44f6-8b11-b85a5871702e"">14315B</a>",Chicken,605,"Huvepharma, Inc.",Not applicable,"Coccidiosis Vaccine, Live Oocysts",Coccidia (Untyped),Advent-M,"Huvepharma, Inc",A vaccine for chickens that helps protect against coccidia (untyped).,Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,A vaccine for chickens that helps protect against coccidia (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/63670d95-51da-4a7c-b7e9-12f5060a35c3"">793501</a>",Bovine,315,"American Animal Health, Inc.",Not applicable,Mannheimia Haemolytica-Pasteurella Multocida Bacterin-Toxoid,Mannheimia (Pasteurella) haemolytica; Pasteurella multocida (Untyped),Leukotox M-1; Pulmo-Guard PHM-1,"Agri Laboratories, Ltd.; Huvepharma, Inc",A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped).,"Administer by wing-web method; typical dose extremely small (e.g., 0.01 mL per bird) — follow product insert for exact technique and timing.","Merck/USDA product inserts (Tremvac, AE-Poxine).",A bacterin for bovines that provides immunity against mannheimia (pasteurella) haemolytica; pasteurella multocida (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/4580ca3e-b53e-43c0-9793-8a1455a4efc2"">212601</a>",Canine,196,Elanco US Inc.,Not Applicable,Borrelia Burgdorferi Bacterin,Borrelia burgdorferi,Ultra Duramune Lyme,No distributor specified,A bacterin for canines that provides immunity against borrelia burgdorferi.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for canines that provides immunity against borrelia burgdorferi.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/1d238714-773a-4a47-ac9b-0a76b56eee31"">17H1R2</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Merial Inc.,"Marek's Disease-Newcastle Disease Vaccine, Serotypes 2 &amp; 3, Live Virus, Live Marek's Disease Vector","Paramyxovirus, Avian (Newcastle); Herpesvirus, Chicken [Mareks, Serotype 2]; Herpesvirus, Turkey [Mareks, Serotype 3]",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3].","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/688abd38-8489-42cb-8648-af7e46d7712d"">195111</a>",Chicken,165A,Intervet Inc,Not Applicable,"Tenosynovitis Vaccine, Modified Live Virus","Reovirus, Avian (Tenosynovitis)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against reovirus, avian (tenosynovitis).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against reovirus, avian (tenosynovitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/5aa7b7c1-abc7-4602-bc66-169393117859"">195103</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Tenosynovitis Vaccine, Modified Live Virus","Reovirus, Avian (Tenosynovitis)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against reovirus, avian (tenosynovitis).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against reovirus, avian (tenosynovitis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/bbcaa85d-28c4-47e7-8c46-cfa6032f1201"">463720</a>",Canine,165A,Intervet Inc.,Merck Animal Health; Merck Sharpe and Dohme (MSD),"Canine Distemper-Adenovirus Type 2-Parainfluenza-Parvovirus Vaccine, Modified Live Virus, Leptospira Canicola-Icterohaemorrhagiae Bacterin","Leptospira canicola; Leptospira icterohaemorrhagiae; Adenovirus, Canine, Type 2; Parainfluenza, Canine; Paramyxovirus, Canine (Distemper); Parvovirus, Canine",Nobivac 1-DAPPvL2; Nobivac Canine 1-DAPPvL2; Nobivac DAPPvL2; Procyon: Dog DA2PPvL; Quantum Dog DA2PPvL,Intervet Venezolana S.A.; Intervet Veterinaria Chile Ltda; MSD Salud Animal Columbia S.A.S.; MSD Animal Health; Intervet Argentina S.A.; Intervet Columbia Ltda,"A vaccine for canines that helps protect against leptospira canicola; leptospira icterohaemorrhagiae; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine.",Administer 1 mL subcutaneously. Primary immunization: 2 doses 3-4 weeks apart; boosters per label/manufacturer.,"Merck/Zoetis product inserts (e.g., Vanguard, Nobivac).","A vaccine for canines that helps protect against leptospira canicola; leptospira icterohaemorrhagiae; adenovirus, canine, type 2; parainfluenza, canine; paramyxovirus, canine (distemper); parvovirus, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/edd6b465-2a10-4271-9328-84aee82c5a13"">48D610</a>",Chicken,165A,Intervet Inc,Not Applicable,"Newcastle-Bronchitis Vaccine, Mass Type, Killed Virus, Salmonella Enteritidis Bacterin","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle); Salmonella enteritidis",BRON-NEWCAVAC-SE,Merck Animal Health,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); salmonella enteritidis.","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle); salmonella enteritidis."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/1e40b46a-05ea-439a-aa24-4a06004a90cd"">17E120</a>",Turkey,337,"ARKO Laboratories, Ltd.",Not applicable,"Hemorrhagic Enteritis Vaccine, Live Virus","Adenovirus, Turkey (Hemorrhagic Enteritis)",H.E. Vac,No distributor specified,"A vaccine for turkeys that helps protect against adenovirus, turkey (hemorrhagic enteritis).",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for turkeys that helps protect against adenovirus, turkey (hemorrhagic enteritis)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/de2d50dc-2620-408d-a51a-de7882e44486"">176114</a>",Chicken,190,Zoetis Inc.,Not applicable,"Newcastle-Bronchitis Vaccine, B1 Type, B1 Strain, Mass &amp; Conn Types, Live Virus","Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",No trade name assigned,Zoetis Argentina,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/f0baccdd-d79b-4cf7-ac3d-3328a36395a9"">150525</a>",Equine,190,Zoetis Inc.,Not applicable,"Equine Influenza Vaccine, Killed Virus","Influenza Virus, Equine",Fluvac Innovator,Zoetis Argentina; Zoetis Mexico,"A vaccine for equines that helps protect against influenza virus, equine.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for equines that helps protect against influenza virus, equine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/d0042b30-63e1-4337-9034-184196aec090"">17H1R1</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Marek's Disease-Newcastle Disease Vaccine, Serotypes 2 &amp; 3, Live Virus, Live Marek's Disease Vector","Paramyxovirus, Avian (Newcastle); Herpesvirus, Chicken [Mareks, Serotype 2]; Herpesvirus, Turkey [Mareks, Serotype 3]",NEWXXITEK HVT+ND &amp; SB1,No distributor specified,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3].","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against paramyxovirus, avian (newcastle); herpesvirus, chicken [mareks, serotype 2]; herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/c8684f19-05d4-49e8-9e96-c294acbac6ae"">979002</a>",Canine,165A,Intervet Inc.,Not applicable,Gilvetmab,"Cancer, Mast Cell, Canine; Cancer, Melanoma, Canine",No trade name assigned,No distributor specified,"This product is used in canines to help prevent or protect against diseases caused by cancer, mast cell, canine; cancer, melanoma, canine.",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"This product is used in canines to help prevent or protect against diseases caused by cancer, mast cell, canine; cancer, melanoma, canine."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/cd2e7d25-32e2-40da-978a-ae34ea0fa973"">12H167</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Bursal Disease-Newcastle Disease-Bronchitis Vaccine, B1 Type, B1 Strain, Mass &amp; Conn Types, Live Virus","Bursal Disease (Birnavirus, Avian); Coronavirus, Chicken (Bronchitis); Paramyxovirus, Avian (Newcastle)",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle).","Administration varies by product: spray, drinking water, or individual injection. Follow product insert (commonly rehydrate and administer per 1000-5000 birds ratio); revaccinate per label.",Zoetis product inserts / USDA APHIS product summaries.,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); coronavirus, chicken (bronchitis); paramyxovirus, avian (newcastle)."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/b9bf9a0b-82b3-4fb9-a93a-fc2c0aee4b17"">187104</a>",Chicken,190,Zoetis Inc,Not Applicable,"Pasteurella Multocida Vaccine, Avirulent Live Culture, Avian Isolate",Pasteurella multocida (Untyped),Poulvac Cholera PM-1,No distributor specified,A vaccine for chickens that helps protect against pasteurella multocida (untyped).,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for chickens that helps protect against pasteurella multocida (untyped).
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/d043552c-9bda-417f-b9a8-c35135f3499f"">12C843</a>",Chicken,124,Boehringer Ingelheim Animal Health USA Inc.,Not applicable,"Bursal Disease-Marek's Disease Vaccine, Standard &amp; Variant, Serotype 3, Live Virus","Bursal Disease (Birnavirus, Avian); Herpesvirus, Turkey [Mareks, Serotype 3]",No trade name assigned,No distributor specified,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); herpesvirus, turkey [mareks, serotype 3].",Label not found in quick search; please consult the USDA/APHIS product summary or the manufacturer's product insert for exact dosage and schedule.,Label not located,"A vaccine for chickens that helps protect against bursal disease (birnavirus, avian); herpesvirus, turkey [mareks, serotype 3]."
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/93600e81-0bf9-4c5d-ba96-ca5feaa612c6"">10L100</a>",Swine,124,Boehringer Ingelheim Animal Health USA Inc.,Not Applicable,"Lawsonia Intracellularis Vaccine, Avirulent Live Culture",Lawsonia intracellularis,Enterisol Ileitis FF,Boehringer Ingelheim (Canada) Ltd.,A vaccine for swines that helps protect against lawsonia intracellularis.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A vaccine for swines that helps protect against lawsonia intracellularis.
"<a href=""https://www.aphis.usda.govhttps://www.aphis.usda.gov/aphis/ourfocus/animalhealth/veterinary-biologics/product-summaries/vet-label-data/93c27ae5-e9cf-418d-afd6-62897af69be5"">265800</a>",Chicken,165A,Intervet Inc.,Not Applicable,Avibacterium Paragallinarum Bacterin,Avibacterium (Haemophilus) paragallinarum,Corvac-3,Merck Animal Health,A bacterin for chickens that provides immunity against avibacterium (haemophilus) paragallinarum.,Dose and route vary; many bacterins are 1-2 mL IM or SQ with a 2-dose primary series spaced 2-4 weeks apart. Follow specific product label.,Manufacturer product inserts / USDA summaries.,A bacterin for chickens that provides immunity against avibacterium (haemophilus) paragallinarum.
